2	G	15592.59375	25928.60185000021	暖温性稀树灌木草丛
37	B	10882.59375	26294.71296000015	干热灌丛
38	B	12412.59375	26202.67592999898	干热灌丛
15	E	8512.59375	26262.86110999901	温性针叶林
5	D	13297.59375	26307.86110999901	针阔混交林
9	C	10447.59375	26277.86110999901	暖性针叶林
2	F	11392.59375	25659.89814999886	河流
39	B	9877.59375	26244.157409999985	干热灌丛
16	E	8572.59375	26112.67592999898	温性针叶林
40	B	12067.59375	26244.157409999985	干热灌丛
6	D	12802.59375	26161.564809998963	针阔混交林
41	B	13102.59375	25816.009260000195	干热灌丛
3	G	14962.59375	25835.083329998888	暖温性稀树灌木草丛
42	B	13237.59375	26127.86110999901	干热灌丛
43	B	12547.59375	26084.71296000015	干热灌丛
44	B	11752.59375	25887.490739998873	干热灌丛
45	B	12847.59375	25209.157409999985	干热灌丛
46	B	9892.59375	26081.009260000195	干热灌丛
4	G	14362.59375	26054.71296000015	暖温性稀树灌木草丛
10	C	9727.59375	25919.620370000135	暖性针叶林
47	B	12142.59375	25249.52778000012	干热灌丛
17	E	10537.59375	26051.009260000195	温性针叶林
48	B	11452.59375	25807.02778000012	干热灌丛
1	H	13552.59375	25758.046300000045	寒温山地硬叶常绿栎林
2	H	13912.59375	25981.564809998963	寒温山地硬叶常绿栎林
18	E	8392.59375	25895.268519998994	温性针叶林
5	G	15382.59375	25947.86110999901	暖温性稀树灌木草丛
49	B	13117.59375	25934.71296000015	干热灌丛
19	E	8107.59375	25776.935190000106	温性针叶林
11	C	9832.59375	25748.97221999895	暖性针叶林
20	E	8002.59375	25812.67592999898	温性针叶林
3	H	13837.59375	25857.86110999901	寒温山地硬叶常绿栎林
21	E	14572.59375	25504.89814999886	温性针叶林
50	B	12592.59375	25713.509260000195	干热灌丛
12	C	10642.59375	25445.083329998888	暖性针叶林
7	D	15277.59375	25550.083329998888	针阔混交林
22	E	8167.59375	25458.046300000045	温性针叶林
23	E	6517.59375	25613.78703999892	温性针叶林
13	C	9352.59375	25568.97221999895	暖性针叶林
51	B	13537.59375	25366.379629998934	干热灌丛
24	E	7522.59375	25486.379629998934	温性针叶林
25	E	7747.59375	25394.342590000015	温性针叶林
14	C	9667.59375	25631.009260000195	暖性针叶林
26	E	7147.59375	25075.083329998888	温性针叶林
27	E	6817.59375	25563.509260000195	温性针叶林
28	E	7162.59375	25482.67592999898	温性针叶林
15	C	10612.59375	25542.86110999901	暖性针叶林
52	B	11482.59375	25505.268519998994	干热灌丛
29	E	7342.59375	25452.67592999898	温性针叶林
30	E	6067.59375	25503.509260000195	温性针叶林
16	C	9052.59375	25541.009260000195	暖性针叶林
31	E	9907.59375	25370.083329998888	温性针叶林
32	E	8392.59375	25524.157409999985	温性针叶林
17	C	8857.59375	25287.490739998873	暖性针叶林
53	B	11857.59375	25484.71296000015	干热灌丛
33	E	14677.59375	25296.935190000106	温性针叶林
18	C	9547.59375	25518.509260000195	暖性针叶林
54	B	11947.59375	25381.564809998963	干热灌丛
19	C	15352.59375	25437.86110999901	暖性针叶林
34	E	6472.59375	25289.620370000135	温性针叶林
55	B	13852.59375	25372.120370000135	干热灌丛
35	E	6127.59375	25158.046300000045	温性针叶林
20	C	9142.59375	25355.268519998994	暖性针叶林
21	C	15682.59375	25276.379629998934	暖性针叶林
36	E	7162.59375	25391.009260000195	温性针叶林
56	B	11542.59375	25394.620370000135	干热灌丛
37	E	9517.59375	25308.41667000018	温性针叶林
22	C	15457.59375	25353.32407000009	暖性针叶林
6	G	14227.59375	25295.268519998994	暖温性稀树灌木草丛
23	C	8407.59375	25331.009260000195	暖性针叶林
38	E	8092.59375	25331.009260000195	温性针叶林
24	C	10702.59375	24976.009260000195	暖性针叶林
39	E	6772.59375	25036.379629998934	温性针叶林
40	E	5332.59375	25261.564809998963	温性针叶林
57	B	11677.59375	25208.97221999895	干热灌丛
41	E	14947.59375	25248.41667000018	温性针叶林
42	E	9952.59375	24521.564809998963	温性针叶林
43	E	8002.59375	25141.564809998963	温性针叶林
7	G	15112.59375	25145.268519998994	暖温性稀树灌木草丛
58	B	11947.59375	24106.564809998963	干热灌丛
25	C	15277.59375	25008.32407000009	暖性针叶林
44	E	10852.59375	24471.47221999895	温性针叶林
26	C	15772.59375	24983.78703999892	暖性针叶林
45	E	9757.59375	25036.379629998934	温性针叶林
46	E	14617.59375	25167.86110999901	温性针叶林
47	E	7732.59375	25167.86110999901	温性针叶林
48	E	9427.59375	25141.564809998963	温性针叶林
49	E	5557.59375	25177.21296000015	温性针叶林
50	E	6937.59375	25151.009260000195	温性针叶林
51	E	8272.59375	25085.268519998994	温性针叶林
52	E	9112.59375	25010.268519998994	温性针叶林
8	G	15457.59375	24730.268519998994	暖温性稀树灌木草丛
59	B	12607.59375	24897.490739998873	干热灌丛
53	E	4897.59375	24923.78703999892	温性针叶林
54	E	5632.59375	25094.71296000015	温性针叶林
55	E	5377.59375	25134.157409999985	温性针叶林
56	E	9217.59375	25055.268519998994	温性针叶林
57	E	8872.59375	24950.268519998994	温性针叶林
58	E	14767.59375	25077.86110999901	温性针叶林
59	E	7942.59375	24950.268519998994	温性针叶林
60	E	9517.59375	24995.268519998994	温性针叶林
9	G	15172.59375	24486.657409999985	暖温性稀树灌木草丛
61	E	6037.59375	25047.86110999901	温性针叶林
62	E	6082.59375	24600.82407000009	温性针叶林
63	E	7942.59375	25061.009260000195	温性针叶林
64	E	7207.59375	24839.620370000135	温性针叶林
65	E	7312.59375	24908.97221999895	温性针叶林
66	E	9667.59375	24488.60185000021	温性针叶林
60	B	11797.59375	24869.52778000012	干热灌丛
67	E	14827.59375	24987.86110999901	温性针叶林
10	G	15217.59375	24685.453699999955	暖温性稀树灌木草丛
11	G	13837.59375	24839.52778000012	暖温性稀树灌木草丛
12	G	15202.59375	24944.71296000015	暖温性稀树灌木草丛
68	E	5917.59375	24901.564809998963	温性针叶林
27	C	16042.59375	24911.009260000195	暖性针叶林
28	C	15142.59375	22978.231480000075	暖性针叶林
69	E	9472.59375	24749.620370000135	温性针叶林
70	E	10597.59375	24634.89814999886	温性针叶林
13	G	14617.59375	24911.009260000195	暖温性稀树灌木草丛
14	G	14752.59375	24726.935190000106	暖温性稀树灌木草丛
71	E	5017.59375	24881.009260000195	温性针叶林
72	E	5542.59375	24689.620370000135	温性针叶林
73	E	7837.59375	24811.564809998963	温性针叶林
74	E	14767.59375	24877.305559998844	温性针叶林
75	E	15037.59375	24824.71296000015	温性针叶林
15	G	14392.59375	24764.71296000015	暖温性稀树灌木草丛
4	H	4777.59375	24655.82407000009	寒温山地硬叶常绿栎林
76	E	9307.59375	24616.379629998934	温性针叶林
77	E	8047.59375	24642.67592999898	温性针叶林
78	E	8752.59375	24197.953699999955	温性针叶林
61	B	12307.59375	24625.82407000009	干热灌丛
79	E	9187.59375	24731.009260000195	温性针叶林
80	E	4507.59375	24672.86110999901	温性针叶林
16	G	14017.59375	24498.32407000009	暖温性稀树灌木草丛
81	E	6862.59375	24595.82407000009	温性针叶林
17	G	14242.59375	24674.71296000015	暖温性稀树灌木草丛
62	B	11812.59375	24518.97221999895	干热灌丛
8	D	5842.59375	24631.564809998963	针阔混交林
18	G	14617.59375	24605.268519998994	暖温性稀树灌木草丛
82	E	6202.59375	24685.91667000018	温性针叶林
19	G	15442.59375	24456.935190000106	暖温性稀树灌木草丛
63	B	11767.59375	24614.71296000015	干热灌丛
20	G	14917.59375	24571.564809998963	暖温性稀树灌木草丛
64	B	11947.59375	24571.564809998963	干热灌丛
65	B	11347.59375	24584.71296000015	干热灌丛
83	E	9562.59375	24595.91667000018	温性针叶林
29	C	16027.59375	24038.60185000021	暖性针叶林
84	E	8407.59375	24432.67592999898	温性针叶林
5	H	4522.59375	23998.78703999892	寒温山地硬叶常绿栎林
85	E	5827.59375	23972.490739998873	温性针叶林
66	B	11257.59375	22916.935190000106	干热灌丛
86	E	9472.59375	24415.82407000009	温性针叶林
87	E	8017.59375	24468.41667000018	温性针叶林
6	H	4507.59375	24421.564809998963	寒温山地硬叶常绿栎林
21	G	14677.59375	24491.009260000195	暖温性稀树灌木草丛
88	E	7522.59375	24491.009260000195	温性针叶林
67	B	11977.59375	24451.564809998963	干热灌丛
89	E	4237.59375	24398.97221999895	温性针叶林
90	E	7402.59375	24370.91667000018	温性针叶林
22	G	14737.59375	24412.120370000135	暖温性稀树灌木草丛
68	B	13702.59375	22591.657409999985	干热灌丛
23	G	15322.59375	24061.194440000225	暖温性稀树灌木草丛
91	E	6712.59375	24447.86110999901	温性针叶林
92	E	5152.59375	23843.046300000045	温性针叶林
93	E	4012.59375	24053.41667000018	温性针叶林
69	B	11527.59375	24431.009260000195	干热灌丛
94	E	8662.59375	24352.21296000015	温性针叶林
30	C	10972.59375	24417.86110999901	暖性针叶林
70	B	12817.59375	24312.67592999898	干热灌丛
95	E	7597.59375	23774.064809998963	温性针叶林
24	G	13672.59375	24404.71296000015	暖温性稀树灌木草丛
96	E	10147.59375	24374.71296000015	温性针叶林
71	B	13492.59375	23743.60185000021	干热灌丛
31	C	15952.59375	24308.97221999895	暖性针叶林
32	C	11137.59375	24016.009260000195	暖性针叶林
97	E	6067.59375	24327.86110999901	温性针叶林
72	B	11842.59375	24314.71296000015	干热灌丛
73	B	12337.59375	24316.379629998934	干热灌丛
25	G	14377.59375	24294.157409999985	暖温性稀树灌木草丛
98	E	8002.59375	24284.71296000015	温性针叶林
99	E	10387.59375	23674.71296000015	温性针叶林
100	E	10612.59375	24224.25	温性针叶林
74	B	12112.59375	24061.194440000225	干热灌丛
101	E	7522.59375	24016.379629998934	温性针叶林
102	E	6052.59375	24264.157409999985	温性针叶林
103	E	5902.59375	24100.91667000018	温性针叶林
104	E	8407.59375	23892.305559998844	温性针叶林
105	E	9187.59375	23971.194440000225	温性针叶林
75	B	14077.59375	21664.435190000106	干热灌丛
106	E	7357.59375	24177.86110999901	温性针叶林
107	E	9427.59375	24151.564809998963	温性针叶林
108	E	9862.59375	24108.41667000018	温性针叶林
33	C	16252.59375	24029.52778000012	暖性针叶林
109	E	6832.59375	23937.490739998873	温性针叶林
110	E	6352.59375	23963.78703999892	温性针叶林
111	E	6142.59375	23924.342590000015	温性针叶林
34	C	15802.59375	24078.41667000018	暖性针叶林
112	E	10687.59375	23933.78703999892	温性针叶林
26	G	15157.59375	24117.86110999901	暖温性稀树灌木草丛
76	B	13282.59375	23650.546300000045	干热灌丛
113	E	10507.59375	24087.86110999901	温性针叶林
27	G	14692.59375	23992.21296000015	暖温性稀树灌木草丛
77	B	13462.59375	24027.67592999898	干热灌丛
114	E	8737.59375	23892.67592999898	温性针叶林
115	E	4267.59375	23952.86110999901	温性针叶林
78	B	13057.59375	23875.82407000009	干热灌丛
35	C	16537.59375	23982.86110999901	暖性针叶林
1	I	12697.59375	23868.41667000018	栽培植被
79	B	12142.59375	23036.935190000106	干热灌丛
2	I	12907.59375	23868.41667000018	栽培植被
116	E	10777.59375	23821.564809998963	温性针叶林
117	E	16252.59375	23387.953699999955	温性针叶林
118	E	7177.59375	23907.86110999901	温性针叶林
119	E	9097.59375	23815.82407000009	温性针叶林
7	H	4327.59375	23825.268519998994	寒温山地硬叶常绿栎林
1	J	4717.59375	23693.78703999892	高山流石滩疏生草甸
36	C	15487.59375	23825.268519998994	暖性针叶林
120	E	6037.59375	23742.67592999898	温性针叶林
121	E	7792.59375	23821.564809998963	温性针叶林
37	C	16657.59375	23742.67592999898	暖性针叶林
122	E	9982.59375	23752.120370000135	温性针叶林
80	B	11902.59375	23791.564809998963	干热灌丛
123	E	6697.59375	23581.194440000225	温性针叶林
3	F	12037.59375	23648.97221999895	河流
124	E	10462.59375	23787.86110999901	温性针叶林
125	E	9277.59375	23680.91667000018	温性针叶林
38	C	15127.59375	23598.32407000009	暖性针叶林
2	J	4612.59375	23660.268519998994	高山流石滩疏生草甸
126	E	4222.59375	23731.564809998963	温性针叶林
127	E	6652.59375	22736.379629998934	温性针叶林
128	E	6202.59375	23727.86110999901	温性针叶林
39	C	15352.59375	23641.564809998963	暖性针叶林
129	E	6247.59375	23373.13889000006	温性针叶林
130	E	7102.59375	23333.41667000018	温性针叶林
131	E	9907.59375	22856.379629998934	温性针叶林
81	B	11887.59375	23662.120370000135	干热灌丛
28	G	14557.59375	23684.71296000015	暖温性稀树灌木草丛
2	A	3697.59375	23684.71296000015	冰雪
132	E	16582.59375	23487.67592999898	温性针叶林
40	C	11557.59375	23457.67592999898	暖性针叶林
82	B	11827.59375	23602.21296000015	干热灌丛
41	C	15472.59375	23667.86110999901	暖性针叶林
133	E	6952.59375	23588.97221999895	温性针叶林
83	B	14722.59375	23651.009260000195	干热灌丛
134	E	8947.59375	23585.268519998994	温性针叶林
135	E	16402.59375	23634.157409999985	温性针叶林
42	C	11422.59375	23564.71296000015	暖性针叶林
84	B	12787.59375	23551.564809998963	干热灌丛
136	E	7927.59375	23587.21296000015	温性针叶林
43	C	15712.59375	23491.564809998963	暖性针叶林
137	E	8212.59375	23504.71296000015	温性针叶林
3	A	3772.59375	23452.21296000015	冰雪
138	E	7807.59375	23360.083329998888	温性针叶林
139	E	5737.59375	23287.02778000012	温性针叶林
140	E	8572.59375	23401.564809998963	温性针叶林
4	A	3907.59375	23401.564809998963	冰雪
141	E	5947.59375	23339.620370000135	温性针叶林
142	E	10327.59375	23461.564809998963	温性针叶林
9	D	6877.59375	23401.564809998963	针阔混交林
3	J	4372.59375	22725.268519998994	高山流石滩疏生草甸
44	C	15097.59375	23457.86110999901	暖性针叶林
10	D	7402.59375	22655.82407000009	针阔混交林
143	E	4432.59375	23227.02778000012	温性针叶林
144	E	6187.59375	23471.009260000195	温性针叶林
11	D	6082.59375	23444.71296000015	针阔混交林
145	E	9472.59375	23457.86110999901	温性针叶林
4	F	12172.59375	23168.60185000021	河流
5	F	12127.59375	23471.009260000195	河流
146	E	16822.59375	23221.194440000225	温性针叶林
147	E	8917.59375	23020.268519998994	温性针叶林
85	B	14857.59375	23300.268519998994	干热灌丛
148	E	10897.59375	23341.564809998963	温性针叶林
45	C	11137.59375	23414.71296000015	暖性针叶林
149	E	16627.59375	23433.32407000009	温性针叶林
150	E	8182.59375	23121.75	温性针叶林
46	C	16102.59375	22885.083329998888	暖性针叶林
151	E	9682.59375	23424.157409999985	温性针叶林
47	C	11422.59375	23332.21296000015	暖性针叶林
86	B	11572.59375	23200.91667000018	干热灌丛
152	E	8257.59375	23367.86110999901	温性针叶林
87	B	12367.59375	22284.342590000015	干热灌丛
48	C	15907.59375	23249.52778000012	暖性针叶林
4	J	3427.59375	23198.97221999895	高山流石滩疏生草甸
88	B	12847.59375	22394.89814999886	干热灌丛
153	E	16687.59375	23035.453699999955	温性针叶林
89	B	12037.59375	23364.157409999985	干热灌丛
154	E	11152.59375	23258.97221999895	温性针叶林
12	D	6862.59375	23200.91667000018	针阔混交林
155	E	7432.59375	23242.120370000135	温性针叶林
90	B	13312.59375	23159.52778000012	干热灌丛
13	D	6577.59375	23277.86110999901	针阔混交林
156	E	9277.59375	23185.82407000009	温性针叶林
157	E	11002.59375	23198.97221999895	温性针叶林
158	E	10552.59375	22936.009260000195	温性针叶林
91	B	14677.59375	23251.564809998963	干热灌丛
159	E	10597.59375	23155.82407000009	温性针叶林
160	E	16177.59375	23281.564809998963	温性针叶林
161	E	10042.59375	23247.86110999901	温性针叶林
5	A	3817.59375	23048.97221999895	冰雪
49	C	15382.59375	23204.71296000015	暖性针叶林
5	J	4297.59375	23187.86110999901	高山流石滩疏生草甸
92	B	14977.59375	23201.009260000195	干热灌丛
162	E	16837.59375	22564.71296000015	温性针叶林
93	B	11437.59375	23133.509260000195	干热灌丛
50	C	15607.59375	23052.67592999898	暖性针叶林
163	E	7852.59375	22917.490739998873	温性针叶林
51	C	14902.59375	23022.67592999898	暖性针叶林
164	E	16927.59375	23084.71296000015	温性针叶林
6	A	3787.59375	22896.935190000106	冰雪
94	B	11797.59375	23056.379629998934	干热灌丛
165	E	8662.59375	22923.231480000075	温性针叶林
166	E	4747.59375	23043.509260000195	温性针叶林
52	C	16282.59375	23037.86110999901	暖性针叶林
167	E	17062.59375	22638.046300000045	温性针叶林
168	E	8257.59375	22808.97221999895	温性针叶林
169	E	10492.59375	22987.21296000015	温性针叶林
95	B	12142.59375	22895.268519998994	干热灌丛
3	I	13237.59375	22882.120370000135	栽培植被
170	E	15487.59375	22602.305559998844	温性针叶林
53	C	14242.59375	22944.157409999985	暖性针叶林
171	E	4432.59375	22917.86110999901	温性针叶林
96	B	13387.59375	22893.509260000195	干热灌丛
172	E	5122.59375	22891.564809998963	温性针叶林
173	E	5377.59375	22589.157409999985	温性针叶林
97	B	11887.59375	22801.564809998963	干热灌丛
54	C	15877.59375	22863.509260000195	暖性针叶林
55	C	16327.59375	22831.564809998963	暖性针叶林
6	J	3517.59375	22871.009260000195	高山流石滩疏生草甸
174	E	10432.59375	22844.71296000015	温性针叶林
175	E	16747.59375	22762.21296000015	温性针叶林
176	E	9382.59375	22775.268519998994	温性针叶林
177	E	8692.59375	22758.41667000018	温性针叶林
178	E	3247.59375	22784.71296000015	温性针叶林
98	B	11707.59375	22811.009260000195	干热灌丛
7	A	3967.59375	22784.71296000015	冰雪
179	E	8797.59375	22690.91667000018	温性针叶林
180	E	8932.59375	22797.86110999901	温性针叶林
14	D	6937.59375	22781.009260000195	针阔混交林
56	C	15142.59375	22781.009260000195	暖性针叶林
57	C	10732.59375	22807.305559998844	暖性针叶林
181	E	5797.59375	22445.083329998888	温性针叶林
99	B	11422.59375	22748.97221999895	干热灌丛
100	B	11092.59375	22672.21296000015	干热灌丛
182	E	3472.59375	22692.86110999901	温性针叶林
183	E	15817.59375	22692.86110999901	温性针叶林
184	E	6367.59375	22602.67592999898	温性针叶林
185	E	5392.59375	22739.805559998844	温性针叶林
4	I	13432.59375	22625.268519998994	栽培植被
58	C	10747.59375	22664.71296000015	暖性针叶林
186	E	10177.59375	22691.009260000195	温性针叶林
187	E	3157.59375	22704.157409999985	温性针叶林
188	E	3127.59375	22604.71296000015	温性针叶林
59	C	10762.59375	22319.157409999985	暖性针叶林
189	E	5197.59375	22661.009260000195	温性针叶林
60	C	16237.59375	22621.564809998963	暖性针叶林
61	C	10657.59375	22499.620370000135	暖性针叶林
190	E	8077.59375	22486.379629998934	温性针叶林
8	A	3367.59375	22448.97221999895	冰雪
7	J	3967.59375	22604.71296000015	高山流石滩疏生草甸
62	C	16012.59375	22535.268519998994	暖性针叶林
191	E	11632.59375	21531.10185000021	温性针叶林
101	B	13102.59375	22508.97221999895	干热灌丛
192	E	5572.59375	22518.41667000018	温性针叶林
102	B	11122.59375	22541.009260000195	干热灌丛
9	A	3832.59375	22448.97221999895	冰雪
193	E	6967.59375	22328.97221999895	温性针叶林
194	E	3067.59375	22511.009260000195	温性针叶林
195	E	11947.59375	21441.10185000021	温性针叶林
103	B	11227.59375	22432.120370000135	干热灌丛
63	C	16447.59375	22418.97221999895	暖性针叶林
64	C	16507.59375	22494.157409999985	暖性针叶林
196	E	8272.59375	22165.453699999955	温性针叶林
1	K	4627.59375	22323.231480000075	寒温性灌丛
197	E	7687.59375	22481.009260000195	温性针叶林
198	E	6232.59375	22330.91667000018	温性针叶林
5	I	13252.59375	22437.86110999901	栽培植被
199	E	16807.59375	22330.91667000018	温性针叶林
104	B	14137.59375	22342.120370000135	干热灌丛
200	E	4417.59375	22421.009260000195	温性针叶林
105	B	12622.59375	22368.41667000018	干热灌丛
201	E	8887.59375	22328.97221999895	温性针叶林
202	E	17002.59375	22259.52778000012	温性针叶林
203	E	5302.59375	22364.71296000015	温性针叶林
65	C	11557.59375	21981.842590000015	暖性针叶林
66	C	9847.59375	22374.157409999985	暖性针叶林
204	E	2902.59375	22377.86110999901	温性针叶林
205	E	16162.59375	22023.13889000006	温性针叶林
206	E	5602.59375	22361.009260000195	温性针叶林
8	J	3217.59375	22344.157409999985	高山流石滩疏生草甸
9	J	3682.59375	22261.564809998963	高山流石滩疏生草甸
207	E	11167.59375	21900.82407000009	温性针叶林
208	E	6067.59375	21953.41667000018	温性针叶林
209	E	7882.59375	22291.564809998963	温性针叶林
210	E	15562.59375	22291.564809998963	温性针叶林
211	E	5797.59375	22261.564809998963	温性针叶林
1	L	2932.59375	22096.379629998934	高山草甸
212	E	6517.59375	22274.71296000015	温性针叶林
213	E	5542.59375	22235.268519998994	温性针叶林
214	E	6187.59375	22143.231480000075	温性针叶林
215	E	9937.59375	22182.67592999898	温性针叶林
216	E	16447.59375	22261.564809998963	温性针叶林
217	E	4447.59375	22257.86110999901	温性针叶林
218	E	6802.59375	22192.21296000015	温性针叶林
15	D	4897.59375	22060.63889000006	针阔混交林
2	L	3217.59375	22280.268519998994	高山草甸
219	E	9517.59375	22254.157409999985	温性针叶林
220	E	9097.59375	22201.564809998963	温性针叶林
221	E	11047.59375	22030.63889000006	温性针叶林
3	L	3532.59375	22017.67592999898	高山草甸
222	E	17317.59375	22141.564809998963	温性针叶林
223	E	16522.59375	22111.564809998963	温性针叶林
224	E	5152.59375	22145.268519998994	温性针叶林
225	E	8632.59375	22154.71296000015	温性针叶林
226	E	6712.59375	22102.120370000135	温性针叶林
67	C	10777.59375	22141.564809998963	暖性针叶林
227	E	16882.59375	22181.009260000195	温性针叶林
4	L	4417.59375	22111.564809998963	高山草甸
228	E	17272.59375	21929.52778000012	温性针叶林
229	E	7087.59375	22107.86110999901	温性针叶林
6	F	13087.59375	22091.009260000195	河流
230	E	11332.59375	22064.71296000015	温性针叶林
231	E	9967.59375	21582.490739998873	温性针叶林
232	E	6907.59375	21950.268519998994	温性针叶林
5	L	4192.59375	22098.509260000195	高山草甸
233	E	10237.59375	22064.620370000135	温性针叶林
234	E	17047.59375	21824.342590000015	温性针叶林
6	I	15112.59375	21873.231480000075	栽培植被
235	E	6562.59375	21725.083329998888	温性针叶林
236	E	8722.59375	21925.82407000009	温性针叶林
237	E	16387.59375	21931.564809998963	温性针叶林
7	I	14842.59375	22014.157409999985	栽培植被
238	E	2857.59375	22014.157409999985	温性针叶林
239	E	7087.59375	21695.083329998888	温性针叶林
240	E	17347.59375	21971.009260000195	温性针叶林
68	C	12877.59375	21931.564809998963	暖性针叶林
6	L	3307.59375	21850.91667000018	高山草甸
241	E	7822.59375	21852.67592999898	温性针叶林
242	E	8527.59375	21892.120370000135	温性针叶林
243	E	9187.59375	21941.009260000195	温性针叶林
7	L	3097.59375	21954.157409999985	高山草甸
244	E	2842.59375	21901.564809998963	温性针叶林
8	L	4597.59375	21914.71296000015	高山草甸
8	I	14827.59375	21862.21296000015	栽培植被
9	L	3577.59375	20846.009260000195	高山草甸
10	L	3412.59375	21897.86110999901	高山草甸
11	L	3607.59375	21894.157409999985	高山草甸
245	E	9457.59375	21884.620370000135	温性针叶林
12	L	3967.59375	21710.083329998888	高山草甸
13	L	4687.59375	21815.268519998994	高山草甸
246	E	9007.59375	21815.268519998994	温性针叶林
69	C	12667.59375	21775.82407000009	暖性针叶林
70	C	12892.59375	21762.67592999898	暖性针叶林
247	E	11287.59375	21509.157409999985	温性针叶林
248	E	16867.59375	21798.41667000018	温性针叶林
249	E	5512.59375	21851.009260000195	温性针叶林
250	E	8512.59375	21152.768519998994	温性针叶林
9	I	15322.59375	21785.268519998994	栽培植被
106	B	13492.59375	21618.32407000009	干热灌丛
251	E	7462.59375	21738.41667000018	温性针叶林
252	E	7657.59375	21567.490739998873	温性针叶林
253	E	5197.59375	21751.564809998963	温性针叶林
10	J	3157.59375	21804.157409999985	高山流石滩疏生草甸
14	L	4057.59375	21554.342590000015	高山草甸
254	E	8032.59375	21738.41667000018	温性针叶林
107	B	12577.59375	21154.71296000015	干热灌丛
15	L	4852.59375	21691.564809998963	高山草甸
255	E	9667.59375	21742.02778000012	温性针叶林
256	E	9217.59375	21695.268519998994	温性针叶林
257	E	9457.59375	21640.91667000018	温性针叶林
258	E	17407.59375	21537.67592999898	温性针叶林
259	E	17602.59375	21761.009260000195	温性针叶林
71	C	14632.59375	21481.194440000225	暖性针叶林
260	E	5497.59375	21712.02778000012	温性针叶林
1	M	3262.59375	21704.71296000015	岩石
16	L	4537.59375	21610.91667000018	高山草甸
261	E	16477.59375	21631.564809998963	温性针叶林
72	C	15442.59375	21250.546300000045	暖性针叶林
262	E	7957.59375	21122.490739998873	温性针叶林
263	E	8167.59375	21693.32407000009	温性针叶林
264	E	8272.59375	21580.91667000018	温性针叶林
265	E	9142.59375	21601.564809998963	温性针叶林
